"hg1"	"hg2"	"distance"	"hg1_Hgsubgroup"	"hg1_oneletter"	"hg2_Hgsubgroup"	"hg2_oneletter"	"hg1_MacroPhylo"	"hg2_MacroPhylo"	"ArrayType"	"matched_subgroup"	"matched_oneletter"	"matched_macro"	"matched_haplogroup"	"matched_level"	"Group"	"InLegend"
"H16a1"	"H"	4	"H16"	"H"	"H"	"H"	"HV"	"HV"	"Axiom_APMRA"	0	1	1	0	"3. One-letter"	"Axiom_APMRA"	TRUE
"T2f1a1"	"T2f1a"	1	"T2"	"T"	"T2"	"T"	"JT"	"JT"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"H1ae"	"H1ae"	0	"H1"	"H"	"H1"	"H"	"HV"	"HV"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"X2b8"	"X2b"	2	"X2"	"X"	"X2"	"X"	"X"	"X"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"J1c3g"	"J1c3g"	0	"J1"	"J"	"J1"	"J"	"JT"	"JT"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"H58a"	"H58a"	0	"H58"	"H"	"H58"	"H"	"HV"	"HV"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"J1c3b2"	"J1c3e"	3	"J1"	"J"	"J1"	"J"	"JT"	"JT"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"H1m"	"H1m"	0	"H1"	"H"	"H1"	"H"	"HV"	"HV"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"J2b1a"	"J2b"	2	"J2"	"J"	"J2"	"J"	"JT"	"JT"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"J1c3b1a"	"J1c3"	3	"J1"	"J"	"J1"	"J"	"JT"	"JT"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"X2b+226"	"X2b"	1	"X2"	"X"	"X2"	"X"	"X"	"X"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"U4a"	"U4"	1	"U4"	"U"	"U4"	"U"	"UK"	"UK"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"H1e1a"	"H1e"	2	"H1"	"H"	"H1"	"H"	"HV"	"HV"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"H1e2"	"H1e"	1	"H1"	"H"	"H1"	"H"	"HV"	"HV"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"H5b2"	"H5b"	1	"H5"	"H"	"H5"	"H"	"HV"	"HV"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"X2b8"	"X2b"	2	"X2"	"X"	"X2"	"X"	"X"	"X"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"U5b2c2b"	"U5b2"	3	"U5"	"U"	"U5"	"U"	"UK"	"UK"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"T2b23a"	"T2b23"	1	"T2"	"T"	"T2"	"T"	"JT"	"JT"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"J1c2e1"	"J1c2e1"	0	"J1"	"J"	"J1"	"J"	"JT"	"JT"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"H3a1a"	"H3"	4	"H3"	"H"	"H3"	"H"	"HV"	"HV"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"T1a1+@152"	"T1a1"	1	"T1"	"T"	"T1"	"T"	"JT"	"JT"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"J1c5"	"J1c"	1	"J1"	"J"	"J1"	"J"	"JT"	"JT"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"K1a4g"	"K1a4g"	0	"K1"	"K"	"K1"	"K"	"UK"	"UK"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"U5b2c2b"	"U5b2"	3	"U5"	"U"	"U5"	"U"	"UK"	"UK"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"H2a2b5a"	"H2a2b5a"	0	"H2"	"H"	"H2"	"H"	"HV"	"HV"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"H1e2*"	"H1e"	2	"H1"	"H"	"H1"	"H"	"HV"	"HV"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"H23*"	"H23*"	0	"H23"	"H"	"H23"	"H"	"HV"	"HV"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"H2a2a1f"	"H2a2a1f"	0	"H2"	"H"	"H2"	"H"	"HV"	"HV"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"K2b1a3"	"K2b1a"	1	"K2"	"K"	"K2"	"K"	"UK"	"UK"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
