"hg1"	"hg2"	"distance"	"hg1_Hgsubgroup"	"hg1_oneletter"	"hg2_Hgsubgroup"	"hg2_oneletter"	"hg1_MacroPhylo"	"hg2_MacroPhylo"	"ArrayType"	"matched_subgroup"	"matched_oneletter"	"matched_macro"	"matched_haplogroup"	"matched_level"	"Group"	"InLegend"
"A2z"	"A2z"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"A2"	"A2"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L1b1a3"	"L1b1"	3	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L1b1a3"	"L1b1"	3	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"A2k1a"	"A2+(64)"	3	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"A2"	"A2"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"A2"	"A2"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"B2b3a*1"	"B2b3a"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"C1b2"	"C1b2"	0	"C1"	"C"	"C1"	"C"	"M8"	"M8"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"A2z"	"A2z"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"C1b2"	"C1b2"	0	"C1"	"C"	"C1"	"C"	"M8"	"M8"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"C1b2"	"C1b2"	0	"C1"	"C"	"C1"	"C"	"M8"	"M8"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"A2z"	"A2z"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L3d1b1"	"L3d1b"	1	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L1b1a7a"	"L1b1a7a"	0	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"C1b2"	"C1b2"	0	"C1"	"C"	"C1"	"C"	"M8"	"M8"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"A2am"	"A2am"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L0a1b1a1"	"L0a"	7	"L0"	"L"	"L0"	"L"	"L0"	"L0"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"K1a4a1h*"	"K1a4a1h*"	0	"K1"	"K"	"K1"	"K"	"UK"	"UK"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"J2a1a1"	"J2a1a1"	0	"J2"	"J"	"J2"	"J"	"JT"	"JT"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"J2a1a1"	"J2a1a1"	0	"J2"	"J"	"J2"	"J"	"JT"	"JT"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"U5b2b3a"	"U5b2"	3	"U5"	"U"	"U5"	"U"	"UK"	"UK"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L3e2b+152"	"L3e2"	2	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"C"	"C1d3"	4	"C"	"C"	"C1"	"C"	"M8"	"M8"	"Axiom_APMRA"	0	1	1	0	"3. One-letter"	"Axiom_APMRA"	TRUE
"C1b4"	"C1b4"	0	"C1"	"C"	"C1"	"C"	"M8"	"M8"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L3e1e2"	"L3e1e2"	0	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"J1c2e"	"J1c"	2	"J1"	"J"	"J1"	"J"	"JT"	"JT"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2b3a*1"	"B2b3a"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L1c3b1a"	"L1c3b1a"	0	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L1c3b1a"	"L1c3b1a"	0	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"A2k1a"	"A2+(64)"	3	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"A2k*"	"A2k*"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"C1b4"	"C1b4"	0	"C1"	"C"	"C1"	"C"	"M8"	"M8"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"C1b4"	"C1b4"	0	"C1"	"C"	"C1"	"C"	"M8"	"M8"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"C1b2"	"C1b2"	0	"C1"	"C"	"C1"	"C"	"M8"	"M8"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"U2e1a1"	"U2e1a1"	0	"U2"	"U"	"U2"	"U"	"UK"	"UK"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L3e1e2"	"L3e1e2"	0	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L3e1e2"	"L3e1e2"	0	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"A2k1a"	"A2+(64)"	3	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"J1b1a1"	"J1b1a"	1	"J1"	"J"	"J1"	"J"	"JT"	"JT"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"C"	"C"	0	"C"	"C"	"C"	"C"	"M8"	"M8"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L0a1a2"	"L0a1a"	2	"L0"	"L"	"L0"	"L"	"L0"	"L0"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"A2ac1"	"A2x"	3	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"A2w"	"A2+(64)"	1	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"A2w"	"A2+(64)"	1	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"A2+(64)"	"A2+(64)"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"A2+(64)+@16111"	"A2+(64)"	1	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"D4h3a6"	"D4h3a6"	0	"D4"	"D"	"D4"	"D"	"D"	"D"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"B2d"	"B2c2*"	4	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2d"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
